Title,Post Content
I feel a little insecure about my boyfriends sexuality,"Me 20f and my boyfriend 24m have been dating for a year now, from the beginning he was open about his sexuality, I never saw a problem with it and knew he’s has relationships with guys before, the part that makes me insecure is that he chooses to watch gay porn to pleasure himself, our sex life is good, and we’re pretty open about it and talk openly about it, I suppose my question is, how do I get over that insecurity of his still watching that? "
My MIL crossed another boundary…and I don’t know what to do…,"My husband (30M) recently passed a test to get a certification at work! It’s a big deal, and he had been working hard, studying and finally passed after taking it for the 6th time. I am so proud of him, and I had been planning to have a small surprise for him with our immediate family (parents/siblings, and a couple of his closest friends that are like family). After he passed, I texted everyone and made an invite on Facebook for the event, and the next day I am sitting at work and see that someone I hadn’t invited to the party said that they were going to the party. My MIL had invited 10 other people (extended family, and some of her friends) to the party without asking or without my knowledge completely. 

After I saw this, I immediately deleted all of the people out of the event, and called my MIL and said “Hey I’m sorry if your confused, this was just suppose to be a surprise party with immediate family and the people closest to husband”. She apologized and said she should have asked before inviting, which I appreciated but then goes on to say how it’s one sided, how I have more people coming from my side so why can’t husband have more people, etc. I was confused but said while I’m sorry, you can have a party for him if you want, but I would not be having more people come because it will be at a restaurant that can’t accommodate that many people. 

The party is next weekend, and she seems okay, but I’m worried that she will bring people anyways even though I said not to, and I won’t know because I’ll be bringing the party honoree. The only person I want to vent to about this is my husband, but I can’t if I want to keep this party a secret.

I don’t know what to say..do…or feel at this point…she does this all the time and makes every event about herself. I’m sick of it, and I’m sad for my husband. 

Sorry for the long post everyone! This helped to write it down and vent to the THT community 💕"
Relationship advice needed,"I (21F) have been with my boyfriend (21M) for a little over a year now, and I apparently can’t do anything right. 

From the beginning, my boyfriend has been very unhappy with the fact that I have had sex before I met him (he’s had sex too, but since he’s a guy it’s a flex and since I’m a woman, it “devalues me”). He always gets mad at me for doing anything if it doesn’t involve him. I’m at work and he can’t visit? I’m wrong. I’m with family? I’m wrong. And every time I do something he doesn’t like, he calls me a c u next Tuesday among many other names, talks badly about my family, particularly my mom and late brother, and threatens to break up with me or cheat on me. 

Tonight, my best friend is having friends over for her birthday. I asked him if it’d be okay if I went, and he told me he didn’t want to be with me and that I “constantly ignore him and never wanna hang out with him”. 

Every time I ask him what I’m doing wrong he says nothing but I know it’s the fact that I had sex. I hurt him unintentionally by doing that and because of the he feels the need to hurt me back but ten times harder.


I love him, and I want to be with him, but I don’t know what I can do to make this stop. I tell him it hurts me and he tells me he’ll change but never does. This has been persistent since the very first month of our relationship. What should I do? Any advice would be so appreciated. "
i just learned i was in an open relationship and i had no idea,"Hi everyone 🤝🏼

I just learned pretty big news tonight and i've been laughing (very very hard) since I heard about it, but I think I need to write it down to process it better. 

I (26F) dated my boyfriend (26M) for 5 years. Let's call him D. We broke up by the end of autumn because we were fighting a lot over stuff that didn't make any sense but this isn't the heart of the story. The relationship ended because he had a mistress during an internship he did abroad. I say mistress because it was a pretty deep emotional connection on top of being physical which lasted for 4-5 months (they still talk to this day). At the time, I didn't know. I rarely get angry and I consider myself to be a pretty patient person. For example, I would text him while he was abroad and i'd easily wait a week before double texting (thinking about it now, that should have been my first clue). He never texted me first to ask about how I was doing and the only time he did it was to borrow money (which again should have been my second and third clue). 

Another important point to this story is that I have a very good old-time friend (26F) who was also dating one of my boyfriend's best friends. We had a couple of heated discussions about how she didn't trust her boyfriend with mine during trips. She and my boyfriend didn't really get along and I assumed it was simply because she didn't like him that she would sometimes criticize him. Once she said ""my relationship with X isn't like yours and D"". I honestly never imagined there would be any other reason and I just understood it in a condescending way. We kind of got distant and time passed. We still hung out a couple times a year, but we never talked about what brought her to say that. 

Fast forward to tonight. I was hanging out with a mutual friend when we started talking about my dating life. She recently saw D at a party at my old friend's house (who lives with her boyfriend and that's why he was invited, I was also invited but had other plans not that it matters). While talking about him, she told me out of nowhere (or rather it felt like out of nowhere to me) that he was pretty lucky to be with a chill person like me but she never understood why the mistress abroad was the breaking point. I was confused and asked what she meant by that. She said ""well it was pretty obvious with his past trips with friends what was going to happen with 6 months abroad"".My brain stopped. I remembered everything my old-friend said about D and how she was never at ease when he went on trips with her boyfriend. They all honestly thought I was in a consesual open relationship with him. They thought since I'm a private person and don't talk about my life much that I knew and was okay with it. That ""rumor"" started 3-4 years ago. But we never talked about that. He never mentionned anything remotely like that either. A couple months before he left for the internship, he mentionned opening the relationship since it would be 6 months, I was uncomfortable but answered I would think about it and a few weeks later when I was actually warming up to the idea he said he didn't want to do that anymore and that was that. I distinctly remember because he was sulking when I brought it up. And I have been laughing my ass off since then. It feels so surreal. It's crazy how I had absolutely no idea. 

I'm probably going to stop here now. I apologize if it's all over the place, english is my second language. But I know I'm happy to say I learned my lesson, if your friends don't like your partner don't brush it off and try to understand the reason why or you might be in for a surprise like I was...

Peace 👌🏼"
Do i F24 need to get my son away from my husband M24?,"So I F24 and my husband M24 have been together for almost 7 years. When I first met his cousin I was 17 and she is was 15. My husband introduced me to most of his family but for some reason I literally never seen him look at her or talk to her ever. I really didn’t think it was too weird because he’s kind of cold towards all of his family. But it’s his mom’s sisters daughter. So they are for sure 1st cousins and grew up together. 

About 3 years ago we had a 3 month “break” and we ended up working it out and getting back together. It was going good and about 6 months in I was just looking in his phone (we both are mutually ok with looking in each others phones but it’s not excessive just occasionally). Anyways I was in his archived messages on Facebook and I saw his cousin in there but she was blocked. I thought that was weird cause why would you block your cousin and delete the messages right? Well the messages were from the time of our “break” and innocent enough to where it was not like hard core proof he did sleep with her. It was just… weird? Like asking how each others doing with a bunch of blushing faces and kissing emojis. Saying how bad they missed each other.. you get the picture. Maybe if he talked to his sisters or anybody else in his family like this it would not be as bad but he doesn’t.

Anyways the family is planning Easter with everybody and his cousin sends us a friend request on Facebook. I didn’t touch it and just left it there because he deals with request we get from his side and I deal the request that come from my side. (Joint Facebook. Since his got hacked a few years ago). I saw him get on his phone and tried to secretly delete the friend request. Like I hadn’t already seen it? Well anyways i confronted him again since the last time and just said I’d like to know the truth. I don’t like going around on holidays and his cousin just staring at me the whole time while I’m left in the dark about the situation. He gets really crazy anytime I bring it up and calls me phycho and how could I see it as anything but cousins being cousins? 

I ended up lying and told him I had talked with his cousin and she told me everything. (I had not talked with his cousin) he ended up breaking down and telling me he did sleep with his cousin but he didn’t sleep with her on our break. I don’t really believe that just because the messages I saw from when our break was.I feel this deep icky feeling now whenever I look at him. I cringe at every word that comes out of his mouth. I don’t think I’ll ever be able to move past him but he’s been such a constant in my life. I often felt like he came and “rescued” me when I was living in my grandmas crack house. I don’t know what I’m going to do and he is a great dad so it’s gonna break my 4 year olds heart. 

Just wanted to get it off my chest because I tried talking with my mom and grandma about it and they told me “hes a good man and try’s to be better” I feel they love him more than they love me. It makes me physically sick to think about leaving him since he’s all I’ve known. And it makes me physically sick to look at him like the predator he is. 

New account because husband is on the main. Made this specifically to get outsider opinions and advice.

Edit to add: since I’ve got so many comments about the “predator” statement I’ll add. His cousin is “slow” like enough to where she gets a check for it every month and didn’t graduate high school. So I guess in my head I do think it’s kind of predatory to go after her like that. I didn’t learn this info until SIL shared it with me when we were talking. Also I don’t mean taking away my son and never letting him see his dad? I mean going from 1 house to 2 and going from everyday dad to weekend dad. That’s what I mean by “getting my son away from my husband” "
