Title,Post Content
Am I the a-hole for getting mad that my boyfriend never tells me what he's doing?,"This has been an issue for months. Let me give some background information as to why this simple thing upsets me so much. Me and my boyfriend are long distance right now he's in California and I'm in Kansas. His school has really bad service so he can't really text very frequently if at all, which I understand no big deal but that ties in later. I'm always pretty aware that he is 2 hours behind me so he'd get out of school technically two hours later than me. But that honestly might make it worse because I know when he should be able to to text me. Being involved in my partners life is a big thing for me and helps me feel important to them. Not like going to all the events but getting to hear about their day. Getting to know them, their life, hobbies, and general schedule really helps me be able to love them the best I can and know when is the right time is to talk to them about long conversations without interrupting their day. It also helps me feel less like a ""piece of the puzzle"" in their life and more like a long term goal and an actual important part of their life. The entire time we've known each other and have been dating he's had this issue of just never telling me where he's going, what he's doing, or how long he'll be gone. He just disappeares and doesn't respond to text or calls until he's back home. I know he's struggled with mental health so I get a little worried that something happened when he doesn't respond for hours. He also does it very frequently where he'll text me then I text him back in less than a minute but then he disappeares. Also because of the time differences and his bad service in school that means we only get to talk for a couple hours a day if even that. And whenever we do he usually just wants to ""have fun"" if you know what I mean. It feels like this is all our relationship is about honestly. I've mentioned this to him many many times over many many weeks and I've seen no change. I've told him that I feel like just an object to him since we hardly ever talk and he only wants to ""have fun"". He won't like ghost me if I tell him no but he constantly asks. Either way off topic, I just don't feel very important to him since I never even know his life or what he's doing, we hardly talk for more than a couple hours total throughout the day, and he only ever wants to you know when we do talk. It's gotten to the point to where yelling at him, begging, pleading, negotiating, none of it works. He never tells me shit. I feel bad because I've started getting so angry about this problem but it's never even been close to getting fixed nomatter what I've done to bring it up or offer solutions. In my heart and my gut feeling I truly know he's the one but right now I barely even feel like his girlfriend and I don't know what to do to get him to tell me what the fuck he's doing. Even after he gets back he hardly tells me anything at all and I've just gotten so frustrated at this point. Am I the a-hole for getting so mad about it? And what tf should I do to get him to tell me when he's going to be gone for hours and what he's doing "
AITAH?? What should I (M20) do about a unplanned hookup with my BFF for life’s (M20) Cousin (F20),"So after 2 weeks of me(M20) talking with my BFFs(M20) Cousin(F20), I had seen her once at her work after her sister told to come and visit, which I thought went good because we were both awkward and nervous with each other, after a week of talking she asked me to come to her and her sisters apt for a movie, I showed up late night on the weekend, and was shown inside by her 2 younger cousins  that weren’t suppose to be there , we ended up smoking to blunts and talking In a group, everything was going good and they all seemed to like me so far, Me and the Cousin( F20) were always kinda both nervous with each other but could still make conversation, I was really liking that fact because I was starting to see similarities between us, and certain interests and views on life, eventually she sets everyone else up for bed and it’s 2am at this point, and at this point I’m not expecting to hookup at all, just because I actually like her fr, and wanted to respect that and her Christian values, but as things went on we as slow as ever made it to the bedroom, and as time went on we slowly began to get flirtatious and compliment each other, I saw this first night with her as, oh we are really hitting off with each other, since we were both being so awkward and we knew it, eventually one thing leads to another, and we end up having sex, the best sex performance of my life, 3 hours had gone by and 3 shitty condomns, she told me I was her 2nd guy and she does not take any birth control of any kind. I had never felt a connection with a girl like this before, I know I can’t mess this one up, I leave at 5:30 am and am high on life at this point, her snapchats show that we both enjoyed what happened, and would want to hangout again, but I do not want to have sex anymore, as the relationship can’t revolve around it, after about 2 days, I confess to my BFF what I did, I told him in an exciting manner, but wanting to know how he feels about it, the two are not close at all as 2nd cousins, but they are still family, I also consider my BFF my brother, as we were grew up together people would always mix our names up as we share similar lifestyles and looks. Is it disrespectful to tell him without asking her? Is it wrong to keep this from him or better to tell him? Turns out she told those girls we had “hung out” apparently. Which lead to her 1st cousin (M19) finding out “we did something”. Her first cousin is still a senior in high school, also a cousin of my BFF, they knew each other a little and give shit to each other as cousins, the 19 yr old 1st cousin and her had grown up with each other as brother and sister, my BFF knows them as mean to each other, and the weird side of his family. I usually play Xbox with my BFF, and that’s where I told him, turns out the 1st cousin (M19) does too. Without me in the conversation, my BFF told him that we actually had sex with other close friends in that conversation, I believe it was told in a maybe unserious funny manner to him, and I had been seen to be bragging about this experience with her, you can call it bragging, but it truly made me happy and was an overall great experience that I couldn’t keep to myself, the first cousin does not like this (bragging), and later get labeled as a kiss n teller. So once I’m actually in this conversation with her 1st cousin, I’m immediately told by everyone that she’s a whore, and the one saying this is her 1st cousin she grew up with, no proof or real evidence of this, but he continues on to say, she started hoeing around after her 1st ex, and has been talking to multiple guys at once, called her ugly, “looks like a dude”, straight disgusting stuff that would make you question her honesty and loyalty and if she was being somewhat fake with me throughout our experience. I did not want to believe it and I still don’t to this day, he is telling me the complete opposite of what I saw in her. Her 1st cousin says to me he didn’t care that we had sex, trying very hard to prove to me she’s ugly all around, sends me pics of her and other girls to compare?? STARTING TO GET WEIRD( we joke with hes attracted to her)but then goes on to become aggressive, calling me out about self-respect, i am unserious with him at this point because im not sure what to believe, he is serious, acting hard, eventually he gets more aggressive threatening, to smack me, if i say something smart when we meet, at this point I confused on why he is so mad after saying didn’t care, but I also wasn’t going along with what he was telling me about her, eventually he leaves the Xbox party, and rejoins with (a guy she’s talking to) I completely ignore it and actually start to mess with them about it as I see him being very insecure about me with the girl he grew up. Me Being unserious made the friend even laugh, called me weird but I know I’m just actually funny!

THIS IS WHERE I THINK I MESSED UP!
As (this guy she’s also talking to) joins the Xbox party, they talk about her in a sexual manner to play with me, so I talk about what we actually did, kinda rub it in too, because I’m being disrespected heavily at this point, he continues to say how it’s messed up to be talking about her like that, HYPOCRITICAL!! THE COUSIN IS CLEARLY CHILDISH and INSECURE! He continues to get very aggressive and threatening, leaving with a threat to hurt me if we ever meet. I even told him in that conversation that it was shitty he heard we was doing that, but I hadn’t understood how close they really were at this time, as she did not mention him when we met. 

So I am left with basically a very angry brother, and I am unsure of what is to happen now, I ended up leaving it at that, not mentioning the conversation between me and her 1st cousin over Snapchat. Nothing seemed to happen over the next couple of days, conversation with her still seemed fine as we would talk and joke about that night, but at the same time I was quitting weed, and developing symptoms of CHS, giving me an overload of anxiety about her through, which I bet she could feel or tell, as her part of the conversation became short, this is where I think they had made contact about what had happen between me and her 1st cousin. 

THIS IS THE MOST IMPORTANT PART

Eventually it would happen that she would go his house, because they are family, I got a random call from her around 9:00pm. Me all excited was answered by her 1st cousin and he was being very aggressive, I couldn’t get much words out at first because, I couldn’t believe this was really happening to me, I began to get really irritated with the things he were saying, it was a short call that consisted of insults to each other, she had not said one word the whole call, as he kept going at me, I finally said, THEN WHY DID YOU CALL YOUR OWN SISTER A WHORE AND SAY SHE TALKING TO ALL THESE GUYS, AND THIS IS WHERE IMMEDIATELY DENIED IT WHEN I CONFRONTED HIM, She clearly is believing his word and would obviously trust him over me, it then ended with me being blocked on all socials, which I believe he had her phone for a while even after the call, I immediately went to my BFF, raging mad, cuz I knew I had been completely wronged in a way I could have ever imagined happen to me, immediately I tell My BFF(brother) what happened, and we try to verify who was all in the conversation between me and her 1st cousin, my brother tells me he knows he was lying too, because why would he deny it when’s she’s there with him in person, the 1st cousin told me NOT to tell her he said that to me when we first spoke too!!!! and for some reason I didn’t tell her, because it felt like a break in her trust for me and too touchy of a situation, since I know they are close. It’s my obligation to make sure she hears the truth at this point. Should I expose the 1st cousin to her on some weird stuff through my brother/ BFF who is her 2nd cousin and was a witness to what was said? Leave it alone? I can’t go down without a fight here!! This girl deserves better!! 

PS the 1st cousin and her have had parental issues growing up, fathers not present.
 
Please let me know guys, does she need to know what he said to me specifically?!?!"
AITA for talking about how tiring marriage is in front of newly married coworker?,"I don’t know how to word this, but I’m a 26F who have been feeling distance from my coworkers as of late. I’m not sure what the issue was, but I started noticing them icing me out from lunch breaks and only go in groups and sometimes I feel like I’m invisible around them. I’m a quiet person in general, so I might not be a person who contributes much to the friend group so it could be the problem of them not feeling as comfortable with me as much as they are with others.

The other day, one of my coworkers in the group were getting married and I wished them happy wedding day, and expressed that I couldn’t go to their wedding because I had no transport to go. But, they never replied to my text until today. I tried to give them the benefits of the doubt, thinking that it was probably because they were busy with their wedding to reply to my text but it’s wild that they couldn’t even spare a sec to reply to my text. I’ve been distancing myself from them even more after that because of their actions have made me feel so isolated.

Anyway yesterday, I had a feeling that they were probably offended because of my statement about marriage in general. It’s fasting month soon, and my coworkers talked about how tiring it is to be married and my newly wedded coworker told the other coworker to not get married, jokingly. I chimed in and said I was just thinking about how tiring it is to be married especially during fasting month because when you come back home you’re expected to cook/prepare meals within a short time and they said that “You’ll find a good guy soon”.

I’m not sure if this is an issue per se, because prior to this I’ve said something to them about how life is tiring. “I could quit job, but it’s tiring to not have money. I’d get married but then it’s tiring to take care of kids”. I’m not sure if my statements were the reason of the strain in our connection and these stuff made me overthink. AITAH? "
Am I the asshole for cumming when getting massaged?,"My wife and I have a fun marriage, we don’t play with others strictly ourselves but she wanted me to get a massage today (it’s where she goes, she went last week and said she was close to having an orgasm) she said it’s not a front of a massage parlor but it does get sensual, she booked my time slot and took me, the masseuse was a pretty lady dressed in average tank top and leggings, she gave me a minute to strip down to my boxers and she came back a few minutes shortly. It was a deep tissue massage and it was honestly really pleasant but at some point during our conversation I would get hard, I’m assuming it was the oils and honestly just the ambiance, I would apologize to the lady ans she brushed it off a few times (this happened once I was facing up of course and she was massaging my thighs) she would moan but not sexually I think it was more because she was working the knots out of my thighs but they still sounded sexy, after a while she stopped grunting or moaning or whatever you want to call it and she started rubbing the top of my chest and shoulders, I opened my eyes and that’s when I realized how pretty she was and how big her breasts were (I didn’t pay her much mind when she took me to the room because I was honestly just looking around) as she began to rub my body again I just felt my dick get hard again and after a few moments of just feeling the vibe I came, I felt it, it was known I apologized profusely. I got the opportunity to clean up and when she left the room she was real sweet and kind even after the kaboom and she said I hope to see you again (I’m sure she says that to everyone) as I walked out of the room back into the front I was shocked to see my wife, I forgot she was there 😅, she asked how was it and I said it went well I just  didn’t expect to cum, and man oh man was that a mistake to say, I honestly thought that’s what she brought me here for, it’s a kink of hers to imagine sharing but not actively fucking some one else, so really am I the asshole here?"
AITAH For apparently…putting my charger in the charger’s box??,"
I(15F) have an Iphone 15 and airpods 2, so i have two different chargers.
Since i charge my airpods like once a week, i put the charger back in the charger box because i fear i might loose it through the week. The charger box is for chargers we don’t use really often or we don’t use at all, while i put my iphone charger beside my bed.
A few days ago, my sister had lost her charger, so my father(62) went through the charger box, examinated all the chargers to see if they were compatible with my sister’s phone (android) and threw the ones that didn’t fit in the phone hole.
I WAS NOT THERE. Anyways, he does this kind of things so we can “save space” and “throw the useless things”
So now i’ve been searching my charger for atleast 30 minutes, then i decided to ask my father if he saw it. He tells me he threw out a lot of chargers. I then understood he threw out mine too and then he told me “are you fucking stupid that you put your charger in the chargers box”
Im not english and the word he used is not stupid but something worse, so i was angry.
First of all, where the fuck am i supposed to put the charger if not in the chargers box? 
Basically he started to say that it was my fault because i put a “everyday charger” (i use it once a week” in a “never charger box” like what.
Everyone in my family has a little paper piece on the charger with our names on it, but my airpods’ charger didn’t have it, so also started to say that it was my fault because it didnt have my name on it.
But literally, that charger is the only one with the apple jack, didn’t he think something like “oh my god, probably this is useful but i don’t know what this is for” He started to tell me bad things and i argued with him.

AITAH or is he the aitah?

Was it my fault?"
